"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.04507214556052e-103,3.96477839510648,0.229,0.014,2.36996226976656e-98,"13","GREM1"
5.08188247483599e-102,1.79163615412976,0.629,0.087,1.70954526453483e-97,"13","WTIP"
1.24497234406699e-101,2.67195955913944,0.564,0.076,4.18808696544135e-97,"13","CEBPD"
1.60437041306065e-101,2.20190853032189,0.593,0.081,5.39710206953603e-97,"13","GALNT6"
1.6663737844648e-101,2.43441338940447,0.893,0.202,5.60568141093957e-97,"13","PDLIM2"
5.84966051108272e-101,1.95563960073138,0.843,0.165,1.96782579592823e-96,"13","AC015522.1"
1.21528779300414e-100,2.60739796570245,0.35,0.031,4.08822813566591e-96,"13","SYTL5"
1.76612514610099e-99,2.07954897962139,0.779,0.14,5.94124499148371e-95,"13","BAD"
1.80565693914549e-99,2.07602738817718,0.714,0.118,6.07422994328543e-95,"13","COMMD8"
2.61635935143066e-99,1.87415098739119,0.707,0.113,8.80143285821273e-95,"13","GAS7"
2.67800823074123e-99,2.68684170930291,0.986,0.325,9.00881968821351e-95,"13","ANXA1"
6.09314979171777e-99,1.93219618033771,0.707,0.113,2.04973558993386e-94,"13","MYO1C"
1.0846077204055e-98,1.62067896189147,0.771,0.131,3.64862037144411e-94,"13","AMOT"
3.12607613895167e-98,2.08406171407849,0.936,0.217,1.05161201314334e-93,"13","SAMD4A"
6.8104711847292e-98,2.97527018163455,0.5,0.063,2.2910425065429e-93,"13","C19orf33"
1.53560460206262e-97,1.7473531512064,0.929,0.191,5.16577388133866e-93,"13","LAYN"
8.33512976728541e-97,2.44007204290384,0.407,0.042,2.80393765371481e-92,"13","STON1-GTF2A1L"
9.68985104247698e-97,3.78667721912004,0.171,0.008,3.25966589068926e-92,"13","SOX7"
1.37707025122262e-96,2.054986669446,0.55,0.074,4.6324643251129e-92,"13","MIR22HG"
2.62867227349588e-96,1.87984571398797,0.914,0.193,8.84285352804014e-92,"13","PARVA"
5.76109759103325e-96,2.21529959770139,0.9,0.201,1.93803322962359e-91,"13","HEBP1"
7.60338013752153e-96,2.20943745835985,0.929,0.219,2.55777707826224e-91,"13","SLC2A4RG"
8.36604140794668e-96,1.78157653865388,0.707,0.116,2.81433632963326e-91,"13","IRS1"
9.54014737742198e-96,4.24033655473446,0.386,0.04,3.20930557776475e-91,"13","LGALS3"
1.04307647312692e-95,2.04286936698282,0.65,0.102,3.50890925559897e-91,"13","LYPD6B"
1.21694364058798e-95,2.85644162526018,0.493,0.063,4.09379840693797e-91,"13","LINC02163"
1.219587571684e-95,3.08450367749678,0.2,0.011,4.10269259114496e-91,"13","LRRC32"
6.0680240324841e-95,2.96815599654204,0.279,0.021,2.04128328452765e-90,"13","HHIP-AS1"
9.89368203051146e-95,2.73096709470805,0.357,0.034,3.32823463506405e-90,"13","AC114930.1"
4.81817870651281e-94,1.93531920892313,0.479,0.058,1.62083531687091e-89,"13","LINC02381"
4.86799000142421e-94,1.36785582317152,0.864,0.159,1.6375918364791e-89,"13","GDF6"
6.20515501179373e-94,2.3610107567166,0.486,0.061,2.08741414596741e-89,"13","ADAMTS18"
3.70541358295568e-93,2.00275981404186,0.929,0.219,1.24650112930629e-88,"13","METRNL"
5.08744564980998e-93,2.71239236398011,0.436,0.05,1.71141671659608e-88,"13","S100A16"
8.55291579338832e-93,1.81511402740858,0.657,0.103,2.87720087289583e-88,"13","GUCY1A1"
9.66393302114396e-93,2.2705353492291,0.993,0.314,3.25094706831283e-88,"13","TAX1BP3"
2.51998452913275e-92,2.04771175496935,0.736,0.135,8.47722795600256e-88,"13","FAM89A"
1.01876347842021e-91,1.37919419629676,0.65,0.099,3.42712034140557e-87,"13","SAMD5"
2.59771080125737e-90,2.28753466790197,0.564,0.083,8.73869913542979e-86,"13","CAV2"
5.52196721620583e-90,1.88314549032948,0.764,0.142,1.85758977153164e-85,"13","POGLUT3"
6.25188048242097e-90,1.81776101827525,0.55,0.077,2.10313259428642e-85,"13","CRIM1-DT"
6.62894147373499e-90,1.97892357989613,1,0.977,2.22997591176445e-85,"13","TMSB10"
2.94517530108041e-89,2.04061425474268,0.471,0.059,9.9075697128345e-85,"13","JOSD2"
2.65662366126339e-88,2.86323345645489,1,0.448,8.93688199649003e-84,"13","MYL9"
3.16927505534215e-88,1.89560191683079,0.907,0.21,1.0661441286171e-83,"13","ARL2BP"
4.18165429607857e-88,2.89432909079779,0.214,0.014,1.40670850520083e-83,"13","TGM2"
6.33234305175395e-88,2.0897169803955,1,0.949,2.13020020261003e-83,"13","MYL6"
7.66837925187275e-88,2.57910742412133,1,0.43,2.57964278032999e-83,"13","S100A13"
1.10898294184204e-87,2.42930416576277,0.764,0.156,3.73061861635662e-83,"13","ARL4C"
1.11982669863315e-87,2.71003494605463,1,0.814,3.76709701420192e-83,"13","S100A10"
1.82497671612776e-87,3.02081126049361,0.157,0.008,6.13922167305379e-83,"13","CCN4"
2.38484327237195e-87,1.42511534851335,0.65,0.102,8.02261276825924e-83,"13","BNC1"
2.7143007985835e-87,1.78191828059435,0.779,0.149,9.13090788643488e-83,"13","TEAD3"
3.58606395539335e-87,2.35939898951163,0.964,0.319,1.20635191459432e-82,"13","RHOC"
3.62550927036815e-87,1.31451513432227,0.636,0.098,1.21962131855185e-82,"13","ALPK2"
4.02689984937541e-87,1.71633051266077,0.75,0.137,1.35464910932989e-82,"13","ANXA4"
4.39655909320658e-87,1.96806076682191,0.629,0.102,1.47900247895469e-82,"13","GAS1"
1.7325670709821e-86,1.97063571668113,0.486,0.063,5.82835562678378e-82,"13","TBC1D10A"
2.16701961188039e-86,1.84781110938522,0.771,0.151,7.28985397436563e-82,"13","CAVIN3"
2.22055786042341e-86,1.91777200735736,0.736,0.135,7.46995664246436e-82,"13","MIR4435-2HG"
2.52414831310757e-86,2.02189507067073,0.779,0.158,8.49123492529386e-82,"13","DUSP14"
2.546713720955e-86,2.13366924440793,0.764,0.152,8.56714495729262e-82,"13","CDH13"
3.19826050127256e-86,1.84531471040703,0.979,0.264,1.07589483262809e-81,"13","CAPN2"
1.01069689424008e-85,2.95674242045321,0.243,0.018,3.39998435222364e-81,"13","AC245041.2"
1.78226678503702e-85,2.31325567134095,0.643,0.112,5.99554546486452e-81,"13","BMP4"
